iter	Passed	Remaining
0	392	392127
1	504	251796
2	607	201746
3	797	198663
4	936	186394
5	1017	168555
6	1104	156684
7	1328	164756
8	1428	157294
9	1516	150161
10	1634	146924
11	1790	147439
12	1941	147369
13	2025	142635
14	2226	146222
15	2418	148753
16	2515	145455
17	2624	143184
18	2825	145891
19	2951	144641
20	3065	142892
21	3251	144528
22	3377	143481
23	3507	142636
24	3630	141603
25	3728	139675
26	3808	137251
27	3948	137056
28	4043	135379
29	4149	134153
30	4268	133429
31	4353	131679
32	4486	131454
33	4560	129571
34	4653	128311
35	4762	127541
36	4953	128923
37	5107	129289
38	5372	132388
39	5556	133367
40	6086	142359
41	6219	141869
42	6382	142047
43	6629	144037
44	7174	152262
45	7321	151849
46	7482	151726
47	7841	155532
48	8188	158914
49	8424	160066
50	8751	162847
51	9104	165977
52	9353	167120
53	9596	168110
54	9851	169264
55	10143	170993
56	10353	171279
57	10528	170994
58	10682	170376
59	10920	171080
60	11187	172208
61	11361	171889
62	11579	172219
63	11753	171891
64	12036	173140
65	12196	172592
66	12344	171906
67	12488	171162
68	12622	170314
69	12844	170651
70	13439	175850
71	13778	177586
72	14013	177949
73	14134	176869
74	14238	175607
75	14410	175205
76	14622	175285
77	14796	174901
78	14965	174474
79	15095	173594
80	15212	172600
81	15325	171573
82	15446	170653
83	15575	169842
84	15709	169112
85	15904	169030
86	16174	169735
87	16326	169206
88	16487	168768
89	16658	168435
90	16808	167896
91	17027	168055
92	17204	167791
93	17294	166687
94	17374	165514
95	17478	164588
96	17603	163878
97	17754	163412
98	17873	162663
99	17985	161873
100	18072	160860
101	18200	160234
102	18347	159787
103	18498	159373
104	18603	158572
105	18702	157738
106	18800	156908
107	18898	156087
108	19011	155408
109	19348	156547
110	19426	155583
111	19505	154654
112	19608	153917
113	19700	153112
114	19799	152369
115	19901	151664
116	20000	150940
117	20113	150340
118	20211	149635
119	20306	148913
120	20394	148158
121	20492	147480
122	20586	146781
123	20689	146160
124	20771	145403
125	20863	144723
126	20969	144141
127	21093	143696
128	21220	143277
129	21349	142876
130	21422	142111
131	21508	141431
132	21600	140812
133	21736	140477
134	22069	141408
135	22193	140991
136	22302	140491
137	22384	139823
138	22468	139176
139	22554	138551
140	22649	137982
141	22744	137429
142	22834	136849
143	22939	136360
144	23078	136082
145	23186	135626
146	23280	135089
147	23372	134550
148	23443	133897
149	23531	133342
150	23633	132878
151	23729	132385
152	23843	131993
153	23948	131563
154	24088	131321
155	24190	130877
156	24336	130674
157	24445	130271
158	24541	129806
159	25032	131423
160	25298	131832
161	25391	131343
162	25457	130725
163	25529	130139
164	25636	129735
165	25768	129465
166	25877	129079
167	25973	128629
168	26102	128349
169	26500	129383
170	26715	129513
171	27104	130479
172	27312	130564
173	27452	130319
174	27534	129807
175	27592	129181
176	27658	128602
177	27723	128024
178	27792	127474
179	27856	126901
180	27916	126320
181	27992	125811
182	28065	125295
183	28139	124792
184	28201	124237
185	28275	123743
186	28355	123276
187	28435	122818
188	28536	122448
189	28625	122035
190	28716	121632
191	28822	121295
192	28930	120967
193	29019	120567
194	29122	120224
195	29206	119808
196	29397	119826
197	29498	119483
198	29627	119253
199	29742	118968
200	29893	118831
201	30039	118669
202	30134	118309
203	30217	117906
204	30303	117518
205	30397	117163
206	30481	116770
207	30561	116367
208	30685	116134
209	30793	115842
210	30884	115487
211	30981	115158
212	31115	114968
213	31251	114782
214	31363	114513
215	31438	114111
216	31527	113759
217	31660	113571
218	31799	113403
219	31922	113179
220	32113	113196
221	32233	112961
222	32361	112756
223	32449	112414
224	32528	112042
225	32644	111800
226	32731	111458
227	32815	111113
228	32903	110779
229	33119	110877
230	33206	110545
231	33477	110823
232	33654	110785
233	33797	110637
234	34059	110875
235	34342	111177
236	34541	111203
237	34775	111338
238	34937	111243
239	35055	111007
240	35172	110772
241	35276	110493
242	35369	110184
243	35452	109845
244	35542	109530
245	35629	109206
246	35702	108842
247	35897	108850
248	35971	108493
249	36287	108862
250	36449	108767
251	36671	108851
252	36946	109086
253	37309	109579
254	37554	109719
255	37770	109769
256	37993	109841
257	38272	110069
258	38422	109926
259	38576	109794
260	38819	109912
261	39084	110092
262	39329	110211
263	39558	110284
264	39801	110393
265	40000	110377
266	40190	110335
267	40491	110596
268	40791	110849
269	41137	111223
270	41393	111348
271	41657	111494
272	41935	111674
273	42249	111945
274	42541	112154
275	42807	112292
276	43157	112644
277	43404	112726
278	43686	112895
279	43945	113002
280	44167	113012
281	44343	112902
282	44538	112841
283	44724	112756
284	44905	112657
285	45253	112976
286	45665	113447
287	46048	113840
288	46239	113758
289	46460	113747
290	46787	113993
291	47040	114056
292	47242	113994
293	47324	113643
294	47396	113269
295	47506	112987
296	47739	112998
297	47811	112630
298	47888	112273
299	47976	111944
300	48288	112138
301	48466	112017
302	48722	112077
303	48911	111982
304	49022	111706
305	49093	111342
306	49175	111004
307	49236	110622
308	49288	110221
309	49390	109933
310	49540	109753
311	49844	109914
312	50116	110000
313	50283	109854
314	50473	109759
315	50713	109773
316	50926	109724
317	51129	109654
318	51351	109625
319	51502	109443
320	51579	109104
321	51658	108772
322	51975	108939
323	52210	108933
324	52530	109101
325	52786	109134
326	52972	109022
327	53186	108967
328	53446	109004
329	53736	109100
330	54039	109222
331	54274	109202
332	54455	109073
333	54707	109087
334	54982	109145
335	55232	109150
336	55656	109496
337	56024	109727
338	56310	109796
339	56548	109771
340	56765	109701
341	56994	109655
342	57189	109544
343	57527	109703
344	57816	109766
345	58030	109688
346	58254	109625
347	58409	109434
348	58630	109364
349	58818	109233
350	58982	109058
351	59139	108870
352	59261	108617
353	59381	108363
354	59543	108184
355	59715	108024
356	59915	107914
357	60141	107850
358	60253	107582
359	60358	107304
360	60490	107072
361	60653	106896
362	60817	106723
363	60981	106549
364	61173	106425
365	61359	106289
366	61550	106162
367	61739	106031
368	61914	105875
369	62121	105775
370	62284	105597
371	62460	105444
372	62616	105256
373	62868	105229
374	63085	105142
375	63253	104974
376	63441	104837
377	63649	104735
378	63940	104768
379	64203	104753
380	64384	104603
381	64622	104546
382	64847	104466
383	65035	104327
384	65273	104267
385	65448	104107
386	65924	104422
387	66251	104499
388	66489	104435
389	66822	104516
390	67090	104496
391	67267	104332
392	67510	104272
393	67736	104183
394	67993	104141
395	68222	104055
396	68451	103970
397	68682	103886
398	68900	103783
399	69163	103745
400	69383	103642
401	69630	103579
402	69811	103417
403	69953	103198
404	70205	103141
405	70351	102928
406	70624	102900
407	70822	102762
408	70944	102513
409	71071	102273
410	71154	101970
411	71337	101811
412	71499	101622
413	71684	101465
414	71789	101196
415	72072	101178
416	72192	100930
417	72250	100597
418	72313	100272
419	72384	99960
420	72462	99657
421	72544	99362
422	72634	99078
423	72718	98787
424	72795	98488
425	72884	98206
426	72966	97915
427	73078	97665
428	73171	97391
429	73233	97076
430	73297	96766
431	73371	96470
432	73449	96179
433	73527	95890
434	73605	95603
435	73687	95320
436	73758	95025
437	73847	94753
438	73935	94482
439	74012	94198
440	74094	93920
441	74169	93634
442	74244	93350
443	74322	93070
444	74391	92780
445	74475	92509
446	74556	92236
447	74632	91957
448	74708	91680
449	74790	91410
450	74865	91133
451	75192	91162
452	75262	90879
453	75350	90619
454	75463	90390
455	75563	90145
456	75653	89890
457	75745	89637
458	75816	89361
459	75905	89107
460	75989	88847
461	76061	88573
462	76149	88319
463	76238	88068
464	76309	87797
465	76376	87521
466	76460	87266
467	76543	87010
468	76625	86754
469	76711	86504
470	76787	86243
471	76869	85989
472	76951	85736
473	77029	85479
474	77103	85219
475	77176	84959
476	77242	84691
477	77312	84429
478	77371	84155
479	77460	83915
480	77537	83663
481	77601	83397
482	77673	83141
483	77738	82878
484	77805	82618
485	77874	82360
486	77946	82107
487	78008	81844
488	78079	81592
489	78148	81338
490	78202	81069
491	78245	80790
492	78330	80554
493	78408	80313
494	78509	80095
495	78573	79840
496	78644	79593
497	78695	79327
498	78760	79076
499	78845	78845
500	78918	78603
501	78985	78356
502	79047	78104
503	79113	77857
504	79167	77600
505	79220	77342
506	79275	77086
507	79332	76833
508	79392	76585
509	79457	76341
510	79524	76100
511	79592	75861
512	79660	75622
513	79728	75385
514	79792	75144
515	79863	74910
516	79926	74670
517	79990	74431
518	80057	74195
519	80127	73963
520	80179	73715
521	80229	73466
522	80286	73224
523	80344	72984
524	80420	72761
525	80490	72533
526	80556	72301
527	80621	72070
528	80679	71833
529	80738	71598
530	80810	71375
531	80871	71142
532	80929	70908
533	80997	70683
534	81053	70448
535	81121	70224
536	81166	69981
537	81219	69745
538	81268	69507
539	81321	69273
540	81383	69047
541	81464	68838
542	81537	68623
543	81605	68404
544	81709	68216
545	81788	68007
546	81877	67807
547	81972	67612
